unique_instrument_id,windcode,windcode_simp
CZCE|F|SM|2601,SM2601.CZC,SM601.CZC
CZCE|F|SM|2602,SM2602.CZC,SM602.CZC
CZCE|F|SM|2603,SM2603.CZC,SM603.CZC
CZCE|F|SM|2604,SM2604.CZC,SM604.CZC
CZCE|F|SM|2605,SM2605.CZC,SM605.CZC
CZCE|F|SM|2606,SM2606.CZC,SM606.CZC
CZCE|F|SM|2607,SM2607.CZC,SM607.CZC
CZCE|F|SM|2608,SM2608.CZC,SM608.CZC
CZCE|F|SM|2609,SM2609.CZC,SM609.CZC
CZCE|F|SM|2610,SM2610.CZC,SM610.CZC
CZCE|F|SM|2611,SM2611.CZC,SM611.CZC
CZCE|F|SR|2501,SR2501.CZC,SR501.CZC
CZCE|F|SR|2503,SR2503.CZC,SR503.CZC
CZCE|F|SR|2505,SR2505.CZC,SR505.CZC
CZCE|F|SR|2507,SR2507.CZC,SR507.CZC
CZCE|F|SR|2509,SR2509.CZC,SR509.CZC
CZCE|F|SR|2511,SR2511.CZC,SR511.CZC
CZCE|F|SR|2601,SR2601.CZC,SR601.CZC
CZCE|F|SR|2603,SR2603.CZC,SR603.CZC
CZCE|F|SR|2605,SR2605.CZC,SR605.CZC
CZCE|F|SR|2607,SR2607.CZC,SR607.CZC
CZCE|F|SR|2609,SR2609.CZC,SR609.CZC
